,>ENST00000566346.2,>ENST00000425843.1,>ENST00000532005.1,>ENST00000448886.1,>ENST00000565203.2,>ENST00000528023.3,>ENST00000630187.1,>ENST00000604659.1,>ENST00000421076.2,>ENST00000504574.1,>ENST00000603116.1,>ENST00000419025.1,>ENST00000555979.1,>ENST00000510759.1,>ENST00000517498.1,>ENST00000525719.1,>ENST00000447469.5,>ENST00000448797.1,>ENST00000464444.1,>ENST00000429463.1,>ENST00000533838.1,>ENST00000452426.1,>ENST00000470966.1,>ENST00000605737.1,>ENST00000439431.2,>ENST00000577519.1,>ENST00000401715.2,>ENST00000424793.1,>ENST00000439134.1,>ENST00000484914.1,>ENST00000428058.1,>ENST00000522077.1,>ENST00000449443.1,>ENST00000546624.2,>ENST00000591094.1,>ENST00000415420.1,>ENST00000631903.1,>ENST00000603662.1,>ENST00000555153.2,>ENST00000536787.2,>ENST00000457644.1,>ENST00000604991.1,ENSG00000201690.1,>ENST00000604628.1,>ENST00000604478.1,>ENST00000623146.2,>ENST00000397627.3,>ENST00000556114.1
>ENST00000470966.1,9.0,11.0,9.0,9.0,10.0,11.0,11.0,10.0,10.0,8.0,7.0,10.0,9.0,9.0,8.0,13.0,8.0,10.0,9.0,9.0,10.0,9.0,0.0,8.0,8.0,10.0,10.0,10.0,10.0,9.0,11.0,9.0,9.0,10.0,9.0,9.0,9.0,11.0,8.0,10.0,9.0,10.0,8.0,8.0,9.0,10.0,10.0,10.0
>ENST00000605737.1,11.0,10.0,7.0,7.0,7.0,10.0,8.0,7.0,9.0,8.0,6.0,10.0,7.0,8.0,8.0,8.0,9.0,7.0,8.0,10.0,8.0,11.0,8.0,0.0,9.0,7.0,8.0,10.0,10.0,10.0,10.0,8.0,12.0,9.0,8.0,8.0,8.0,7.0,7.0,9.0,8.0,8.0,7.0,9.0,8.0,8.0,7.0,7.0
>ENST00000439431.2,11.0,11.0,8.0,11.0,10.0,9.0,11.0,9.0,15.0,7.0,8.0,10.0,9.0,9.0,9.0,19.0,10.0,10.0,10.0,10.0,11.0,8.0,8.0,9.0,0.0,7.0,10.0,10.0,9.0,8.0,11.0,10.0,11.0,12.0,11.0,10.0,8.0,8.0,9.0,11.0,9.0,10.0,8.0,9.0,9.0,12.0,8.0,11.0
>ENST00000577519.1,8.0,10.0,7.0,6.0,7.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,7.0,8.0,8.0,8.0,8.0,9.0,11.0,8.0,9.0,10.0,7.0,7.0,0.0,8.0,9.0,9.0,12.0,8.0,8.0,8.0,8.0,8.0,9.0,7.0,8.0,7.0,10.0,7.0,7.0,6.0,8.0,7.0,10.0,8.0,8.0
>ENST00000401715.2,10.0,12.0,10.0,10.0,10.0,12.0,10.0,9.0,10.0,8.0,7.0,11.0,12.0,11.0,11.0,10.0,9.0,12.0,10.0,9.0,8.0,10.0,10.0,8.0,10.0,8.0,0.0,11.0,9.0,9.0,9.0,11.0,11.0,10.0,12.0,9.0,10.0,8.0,10.0,9.0,10.0,11.0,7.0,11.0,9.0,10.0,12.0,10.0
>ENST00000424793.1,11.0,11.0,9.0,9.0,8.0,11.0,11.0,10.0,13.0,9.0,9.0,11.0,10.0,9.0,9.0,12.0,10.0,12.0,11.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,11.0,0.0,11.0,11.0,10.0,11.0,8.0,14.0,11.0,10.0,10.0,8.0,11.0,11.0,9.0,9.0,8.0,10.0,11.0,11.0,9.0,9.0
>ENST00000439134.1,10.0,11.0,10.0,9.0,9.0,13.0,9.0,11.0,12.0,10.0,7.0,11.0,9.0,12.0,8.0,10.0,9.0,9.0,10.0,9.0,11.0,9.0,10.0,10.0,9.0,9.0,9.0,11.0,0.0,11.0,10.0,10.0,9.0,10.0,12.0,12.0,10.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,8.0,12.0,8.0,12.0
>ENST00000484914.1,10.0,10.0,13.0,9.0,9.0,9.0,10.0,11.0,10.0,9.0,8.0,9.0,11.0,9.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,12.0,9.0,11.0,11.0,0.0,12.0,10.0,9.0,11.0,9.0,9.0,12.0,10.0,8.0,8.0,9.0,9.0,8.0,10.0,8.0,9.0,9.0,10.0
>ENST00000428058.1,12.0,11.0,9.0,8.0,10.0,9.0,11.0,10.0,14.0,11.0,9.0,10.0,9.0,10.0,9.0,14.0,9.0,9.0,9.0,10.0,9.0,10.0,11.0,10.0,11.0,8.0,9.0,10.0,10.0,12.0,0.0,9.0,9.0,11.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,12.0,7.0,10.0,8.0,11.0,9.0,9.0
>ENST00000522077.1,10.0,11.0,11.0,11.0,9.0,12.0,9.0,10.0,10.0,9.0,8.0,10.0,10.0,9.0,7.0,11.0,10.0,10.0,11.0,9.0,10.0,9.0,9.0,8.0,10.0,8.0,11.0,11.0,10.0,10.0,9.0,0.0,10.0,12.0,10.0,10.0,9.0,9.0,11.0,9.0,11.0,9.0,10.0,8.0,8.0,10.0,11.0,13.0
>ENST00000449443.1,9.0,10.0,8.0,7.0,9.0,8.0,10.0,7.0,9.0,10.0,8.0,9.0,9.0,9.0,6.0,8.0,9.0,10.0,8.0,10.0,8.0,11.0,9.0,12.0,11.0,8.0,11.0,8.0,9.0,9.0,9.0,10.0,0.0,9.0,9.0,8.0,8.0,9.0,9.0,11.0,9.0,9.0,8.0,10.0,8.0,9.0,10.0,10.0
>ENST00000546624.2,10.0,11.0,10.0,9.0,10.0,11.0,11.0,10.0,11.0,10.0,8.0,11.0,10.0,9.0,7.0,10.0,11.0,11.0,12.0,11.0,12.0,10.0,10.0,9.0,12.0,8.0,10.0,14.0,10.0,11.0,11.0,12.0,9.0,0.0,10.0,10.0,9.0,10.0,9.0,14.0,9.0,10.0,9.0,10.0,9.0,18.0,13.0,10.0
>ENST00000591094.1,11.0,9.0,9.0,9.0,9.0,11.0,12.0,10.0,13.0,9.0,8.0,10.0,9.0,9.0,9.0,13.0,9.0,8.0,9.0,12.0,8.0,11.0,9.0,8.0,11.0,8.0,12.0,11.0,12.0,9.0,9.0,10.0,9.0,10.0,0.0,10.0,10.0,7.0,9.0,8.0,10.0,10.0,8.0,8.0,10.0,10.0,11.0,8.0
>ENST00000415420.1,9.0,16.0,10.0,8.0,15.0,9.0,8.0,12.0,10.0,9.0,10.0,11.0,8.0,9.0,7.0,9.0,9.0,9.0,13.0,9.0,8.0,8.0,9.0,8.0,10.0,9.0,9.0,10.0,12.0,9.0,8.0,10.0,8.0,10.0,10.0,0.0,9.0,7.0,9.0,11.0,9.0,8.0,6.0,10.0,9.0,9.0,8.0,8.0
>ENST00000631903.1,11.0,10.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,11.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,8.0,7.0,10.0,10.0,10.0,12.0,9.0,9.0,8.0,9.0,10.0,9.0,0.0,9.0,8.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,11.0
>ENST00000603662.1,8.0,9.0,9.0,7.0,9.0,8.0,7.0,8.0,8.0,7.0,8.0,9.0,10.0,8.0,7.0,8.0,7.0,9.0,9.0,8.0,8.0,11.0,11.0,7.0,8.0,8.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,7.0,7.0,9.0,0.0,8.0,9.0,7.0,8.0,8.0,9.0,9.0,8.0,9.0,7.0
>ENST00000555153.2,10.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,10.0,8.0,7.0,9.0,7.0,10.0,11.0,8.0,8.0,9.0,11.0,9.0,9.0,9.0,9.0,8.0,8.0,0.0,10.0,7.0,10.0,7.0,9.0,8.0,11.0,7.0,11.0
>ENST00000536787.2,11.0,10.0,8.0,9.0,9.0,10.0,10.0,11.0,9.0,7.0,7.0,9.0,8.0,11.0,8.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,11.0,10.0,9.0,11.0,10.0,8.0,9.0,9.0,11.0,14.0,8.0,11.0,10.0,9.0,10.0,0.0,9.0,9.0,7.0,8.0,11.0,11.0,9.0,9.0
>ENST00000457644.1,9.0,11.0,9.0,7.0,9.0,9.0,9.0,8.0,9.0,9.0,7.0,9.0,10.0,14.0,8.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,7.0,10.0,9.0,10.0,9.0,10.0,11.0,9.0,9.0,10.0,9.0,10.0,7.0,7.0,9.0,0.0,9.0,7.0,9.0,8.0,9.0,10.0,11.0
>ENST00000604991.1,13.0,9.0,9.0,10.0,9.0,8.0,13.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,13.0,10.0,8.0,10.0,7.0,11.0,9.0,9.0,9.0,12.0,9.0,9.0,10.0,10.0,8.0,10.0,8.0,10.0,9.0,9.0,0.0,8.0,8.0,8.0,11.0,10.0,9.0
ENSG00000201690.1,9.0,9.0,10.0,7.0,7.0,9.0,8.0,8.0,9.0,10.0,5.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,6.0,7.0,8.0,9.0,8.0,7.0,10.0,8.0,9.0,8.0,6.0,9.0,8.0,7.0,7.0,7.0,8.0,0.0,9.0,7.0,9.0,6.0,10.0
>ENST00000604628.1,9.0,10.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,7.0,10.0,10.0,8.0,10.0,10.0,10.0,8.0,8.0,10.0,11.0,8.0,8.0,9.0,9.0,8.0,11.0,10.0,9.0,10.0,10.0,8.0,10.0,10.0,8.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,0.0,8.0,9.0,9.0,10.0
>ENST00000604478.1,10.0,10.0,8.0,9.0,7.0,9.0,10.0,9.0,8.0,12.0,7.0,11.0,7.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,13.0,8.0,9.0,8.0,9.0,7.0,9.0,11.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,9.0,8.0,9.0,8.0,11.0,8.0,8.0,7.0,8.0,0.0,10.0,9.0,9.0
>ENST00000623146.2,11.0,10.0,10.0,8.0,9.0,11.0,13.0,9.0,9.0,9.0,10.0,12.0,9.0,9.0,8.0,11.0,14.0,11.0,11.0,9.0,9.0,10.0,10.0,8.0,12.0,10.0,10.0,11.0,12.0,9.0,11.0,10.0,9.0,18.0,10.0,9.0,9.0,8.0,11.0,11.0,9.0,11.0,9.0,9.0,10.0,0.0,10.0,10.0
>ENST00000397627.3,10.0,12.0,8.0,9.0,9.0,17.0,10.0,10.0,10.0,9.0,7.0,9.0,9.0,8.0,7.0,10.0,9.0,18.0,10.0,8.0,8.0,9.0,10.0,7.0,8.0,8.0,12.0,9.0,8.0,9.0,9.0,11.0,10.0,13.0,11.0,8.0,10.0,9.0,7.0,9.0,10.0,10.0,6.0,9.0,9.0,10.0,0.0,9.0
>ENST00000556114.1,10.0,10.0,9.0,9.0,8.0,10.0,11.0,7.0,9.0,9.0,8.0,11.0,9.0,7.0,9.0,9.0,8.0,10.0,8.0,10.0,8.0,10.0,10.0,7.0,11.0,8.0,10.0,9.0,12.0,10.0,9.0,13.0,10.0,10.0,8.0,8.0,11.0,7.0,11.0,9.0,11.0,9.0,10.0,10.0,9.0,10.0,9.0,0.0
