,>ENST00000554110.2,>ENST00000585289.1,>ENST00000533804.1,>ENST00000438805.1,>ENST00000604600.1,>ENST00000525553.1,>ENST00000616855.1,>ENST00000517572.1,>ENST00000603580.1,>ENST00000455497.2,>ENST00000326586.6,>ENST00000434763.1,>ENST00000604477.1,>ENST00000612442.1,ENSG00000252888.1,>ENST00000613699.1,>ENST00000402326.1,>ENST00000452636.1,>ENST00000509526.2,>ENST00000439890.3,>ENST00000428091.2,>ENST00000581100.6,>ENST00000603259.1,>ENST00000508873.1,>ENST00000590929.1,>ENST00000457608.1,>ENST00000381380.3,>ENST00000462729.1,>ENST00000433725.1,ENSG00000206915.1,>ENST00000605620.1,ENSG00000168925.10,>ENST00000541376.1,>ENST00000441237.1,>ENST00000435741.1,>ENST00000464802.1,>ENST00000512492.1,>ENST00000440224.1,>ENST00000526957.1,>ENST00000493276.1,>ENST00000603431.1,>ENST00000438311.1,>ENST00000567565.3,>ENST00000582212.1,>ENST00000571466.1,>ENST00000531034.1,>ENST00000422654.1,>ENST00000618167.1,>ENST00000447763.1,>ENST00000438766.1,>ENST00000604022.1,>ENST00000438675.1,>ENST00000411669.1,>ENST00000509348.2,>ENST00000604827.1,>ENST00000451639.1,>ENST00000596280.1
>ENST00000326586.6,7.0,10.0,9.0,8.0,10.0,9.0,8.0,9.0,8.0,10.0,0.0,9.0,7.0,8.0,9.0,9.0,9.0,11.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,11.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,12.0,9.0,12.0,11.0,10.0,11.0,9.0,8.0,8.0,7.0,10.0,8.0,9.0,8.0,8.0,8.0,8.0,11.0,7.0,8.0,9.0,8.0
>ENST00000434763.1,10.0,8.0,9.0,10.0,9.0,12.0,9.0,8.0,10.0,10.0,9.0,0.0,10.0,10.0,10.0,8.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,10.0,9.0,14.0,10.0,9.0,10.0,9.0,10.0,14.0,9.0,10.0,10.0,10.0,10.0,8.0,9.0,11.0,9.0,10.0,11.0,9.0,8.0,10.0,12.0,10.0,10.0,12.0,9.0,10.0,10.0,11.0,10.0,10.0,8.0
>ENST00000604477.1,9.0,11.0,10.0,8.0,12.0,9.0,8.0,9.0,8.0,9.0,7.0,10.0,0.0,10.0,8.0,7.0,8.0,9.0,9.0,9.0,8.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,7.0,9.0,9.0,10.0,7.0,9.0,9.0,8.0,9.0,7.0,7.0,8.0,11.0,7.0,7.0,8.0,11.0,9.0,7.0,10.0,8.0,11.0,11.0,7.0,13.0,11.0,10.0
>ENST00000612442.1,8.0,8.0,9.0,9.0,10.0,10.0,12.0,9.0,10.0,10.0,8.0,10.0,10.0,0.0,10.0,9.0,9.0,8.0,11.0,11.0,10.0,11.0,12.0,10.0,11.0,12.0,10.0,11.0,8.0,8.0,8.0,11.0,9.0,11.0,11.0,11.0,10.0,8.0,8.0,11.0,9.0,9.0,12.0,9.0,8.0,9.0,11.0,9.0,10.0,15.0,8.0,12.0,11.0,11.0,12.0,11.0,10.0
ENSG00000252888.1,8.0,6.0,7.0,9.0,8.0,9.0,7.0,8.0,9.0,8.0,9.0,10.0,8.0,10.0,0.0,6.0,9.0,9.0,8.0,12.0,9.0,9.0,7.0,10.0,11.0,8.0,9.0,9.0,7.0,7.0,9.0,9.0,8.0,7.0,8.0,9.0,9.0,7.0,8.0,7.0,8.0,7.0,12.0,9.0,6.0,8.0,8.0,7.0,8.0,9.0,8.0,9.0,8.0,7.0,9.0,9.0,7.0
>ENST00000613699.1,6.0,9.0,8.0,9.0,8.0,8.0,7.0,7.0,8.0,10.0,9.0,8.0,7.0,9.0,6.0,0.0,10.0,8.0,9.0,7.0,8.0,9.0,7.0,9.0,10.0,9.0,9.0,9.0,9.0,7.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,7.0,7.0,8.0,7.0,7.0,8.0,7.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,10.0
>ENST00000402326.1,8.0,9.0,9.0,10.0,9.0,11.0,9.0,8.0,11.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,0.0,17.0,10.0,11.0,8.0,9.0,16.0,9.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0,10.0,11.0,11.0,9.0,12.0,12.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,11.0,11.0,9.0,9.0,11.0,9.0,8.0,11.0,8.0,9.0,10.0,10.0
>ENST00000452636.1,7.0,9.0,8.0,10.0,9.0,8.0,10.0,9.0,10.0,7.0,11.0,9.0,9.0,8.0,9.0,8.0,17.0,0.0,9.0,8.0,8.0,11.0,11.0,11.0,10.0,10.0,9.0,9.0,8.0,8.0,8.0,12.0,9.0,10.0,9.0,11.0,10.0,8.0,11.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,10.0,10.0,11.0,9.0,9.0,8.0,12.0,10.0,8.0
>ENST00000509526.2,8.0,8.0,11.0,9.0,9.0,11.0,8.0,11.0,10.0,10.0,8.0,10.0,9.0,11.0,8.0,9.0,10.0,9.0,0.0,12.0,12.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,9.0,8.0,12.0,10.0,9.0,10.0,11.0,9.0,8.0,9.0,8.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,11.0,11.0,10.0,9.0,9.0,8.0
>ENST00000439890.3,10.0,9.0,10.0,9.0,8.0,11.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,11.0,12.0,7.0,11.0,8.0,12.0,0.0,11.0,10.0,10.0,10.0,10.0,12.0,12.0,9.0,10.0,10.0,11.0,11.0,9.0,10.0,8.0,13.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,11.0,10.0,9.0,10.0,9.0,9.0,12.0,10.0,9.0,12.0,9.0,9.0,10.0,9.0
>ENST00000428091.2,10.0,7.0,10.0,8.0,8.0,12.0,9.0,7.0,9.0,8.0,9.0,9.0,8.0,10.0,9.0,8.0,8.0,8.0,12.0,11.0,0.0,9.0,8.0,9.0,10.0,15.0,10.0,11.0,9.0,7.0,8.0,12.0,9.0,8.0,9.0,12.0,9.0,7.0,9.0,10.0,9.0,8.0,8.0,9.0,10.0,10.0,8.0,8.0,9.0,11.0,10.0,8.0,11.0,8.0,9.0,9.0,8.0
>ENST00000581100.6,8.0,8.0,10.0,9.0,9.0,11.0,10.0,9.0,12.0,9.0,10.0,11.0,7.0,11.0,9.0,9.0,9.0,11.0,10.0,10.0,9.0,0.0,9.0,11.0,10.0,12.0,11.0,11.0,10.0,8.0,9.0,13.0,9.0,9.0,10.0,8.0,10.0,9.0,11.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,11.0,13.0,9.0,11.0,9.0
>ENST00000603259.1,10.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,12.0,7.0,7.0,16.0,11.0,10.0,10.0,8.0,9.0,0.0,10.0,8.0,8.0,9.0,9.0,9.0,8.0,10.0,11.0,9.0,8.0,10.0,9.0,11.0,7.0,9.0,9.0,7.0,7.0,9.0,8.0,8.0,8.0,10.0,8.0,8.0,9.0,9.0,8.0,10.0,8.0,9.0,9.0,8.0
>ENST00000508873.1,8.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,8.0,10.0,10.0,9.0,9.0,11.0,10.0,10.0,9.0,11.0,10.0,0.0,11.0,10.0,10.0,11.0,10.0,8.0,10.0,11.0,9.0,11.0,10.0,9.0,11.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,11.0,9.0,9.0,12.0,11.0,8.0,9.0,12.0,9.0,9.0,9.0,9.0
>ENST00000590929.1,8.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,11.0,11.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,8.0,11.0,0.0,10.0,10.0,10.0,9.0,9.0,9.0,12.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0,11.0,9.0,10.0,10.0,10.0,14.0,8.0,10.0,12.0,9.0
>ENST00000457608.1,9.0,8.0,9.0,13.0,10.0,13.0,10.0,9.0,11.0,10.0,9.0,14.0,9.0,12.0,8.0,9.0,10.0,10.0,10.0,12.0,15.0,12.0,8.0,10.0,10.0,0.0,11.0,12.0,10.0,10.0,10.0,13.0,11.0,10.0,11.0,11.0,12.0,10.0,9.0,10.0,9.0,11.0,12.0,15.0,13.0,11.0,11.0,9.0,10.0,11.0,11.0,14.0,11.0,11.0,10.0,11.0,10.0
>ENST00000381380.3,8.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,12.0,10.0,11.0,9.0,10.0,10.0,11.0,0.0,10.0,9.0,10.0,10.0,12.0,9.0,9.0,9.0,11.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,10.0,8.0,9.0,9.0,10.0,11.0,9.0,11.0,11.0,10.0,11.0,9.0,9.0
>ENST00000462729.1,8.0,9.0,10.0,11.0,9.0,10.0,8.0,12.0,10.0,9.0,11.0,9.0,9.0,11.0,9.0,9.0,10.0,9.0,10.0,9.0,11.0,11.0,9.0,11.0,10.0,12.0,10.0,0.0,10.0,8.0,11.0,11.0,9.0,9.0,8.0,9.0,12.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,11.0,11.0
>ENST00000433725.1,7.0,8.0,9.0,9.0,8.0,11.0,10.0,8.0,8.0,8.0,8.0,10.0,8.0,8.0,7.0,9.0,8.0,8.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,0.0,7.0,8.0,14.0,9.0,8.0,8.0,8.0,9.0,9.0,7.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,10.0,11.0,9.0,9.0,9.0,9.0,11.0,8.0,11.0,10.0,8.0
ENSG00000206915.1,7.0,7.0,9.0,7.0,8.0,8.0,9.0,7.0,9.0,7.0,8.0,9.0,10.0,8.0,7.0,7.0,9.0,8.0,9.0,10.0,7.0,8.0,8.0,8.0,9.0,10.0,10.0,8.0,7.0,0.0,9.0,11.0,8.0,7.0,8.0,10.0,9.0,8.0,7.0,7.0,7.0,7.0,9.0,8.0,9.0,7.0,9.0,8.0,8.0,8.0,9.0,13.0,10.0,7.0,7.0,9.0,7.0
>ENST00000605620.1,9.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,8.0,8.0,10.0,7.0,8.0,9.0,9.0,9.0,8.0,8.0,11.0,8.0,9.0,10.0,10.0,9.0,10.0,10.0,11.0,8.0,9.0,0.0,13.0,9.0,9.0,9.0,10.0,9.0,7.0,9.0,9.0,8.0,8.0,11.0,12.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,11.0,11.0,7.0,9.0,9.0,8.0
ENSG00000168925.10,11.0,9.0,10.0,11.0,11.0,11.0,11.0,10.0,11.0,12.0,9.0,14.0,9.0,11.0,9.0,10.0,10.0,12.0,12.0,11.0,12.0,13.0,11.0,11.0,12.0,13.0,12.0,11.0,14.0,11.0,13.0,0.0,12.0,10.0,11.0,12.0,12.0,10.0,10.0,10.0,11.0,9.0,10.0,10.0,12.0,10.0,12.0,10.0,11.0,11.0,10.0,11.0,10.0,10.0,11.0,11.0,10.0
>ENST00000541376.1,10.0,9.0,10.0,11.0,9.0,9.0,11.0,9.0,11.0,12.0,9.0,9.0,9.0,9.0,8.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,11.0,11.0,9.0,9.0,9.0,8.0,9.0,12.0,0.0,8.0,10.0,11.0,11.0,8.0,10.0,10.0,8.0,9.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,11.0,9.0,9.0,10.0,9.0
>ENST00000441237.1,8.0,10.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,11.0,7.0,9.0,11.0,10.0,9.0,10.0,8.0,9.0,8.0,11.0,11.0,10.0,9.0,9.0,8.0,7.0,9.0,10.0,8.0,0.0,9.0,12.0,12.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,7.0,8.0,10.0,9.0,10.0,13.0,8.0,10.0,9.0,9.0
>ENST00000435741.1,8.0,7.0,9.0,10.0,9.0,10.0,10.0,9.0,12.0,10.0,8.0,10.0,7.0,11.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,10.0,10.0,10.0,11.0,11.0,9.0,8.0,8.0,8.0,9.0,11.0,10.0,9.0,0.0,9.0,11.0,7.0,10.0,10.0,11.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0
>ENST00000464802.1,8.0,10.0,12.0,8.0,9.0,10.0,9.0,7.0,9.0,10.0,12.0,10.0,9.0,11.0,9.0,10.0,12.0,11.0,11.0,13.0,12.0,8.0,9.0,9.0,10.0,11.0,11.0,9.0,8.0,10.0,10.0,12.0,11.0,12.0,9.0,0.0,11.0,8.0,10.0,10.0,7.0,10.0,10.0,9.0,8.0,11.0,9.0,8.0,8.0,11.0,17.0,14.0,12.0,10.0,9.0,10.0,10.0
>ENST00000512492.1,11.0,10.0,10.0,9.0,10.0,9.0,11.0,10.0,11.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,12.0,10.0,9.0,10.0,9.0,10.0,11.0,11.0,10.0,12.0,10.0,12.0,9.0,9.0,9.0,12.0,11.0,12.0,11.0,11.0,0.0,10.0,9.0,10.0,10.0,8.0,10.0,9.0,10.0,9.0,12.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,9.0,11.0
>ENST00000440224.1,6.0,11.0,6.0,7.0,8.0,9.0,8.0,7.0,8.0,7.0,12.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,9.0,7.0,9.0,7.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,7.0,10.0,8.0,8.0,7.0,8.0,10.0,0.0,8.0,8.0,10.0,7.0,8.0,9.0,7.0,8.0,8.0,6.0,8.0,10.0,8.0,8.0,8.0,9.0,8.0,11.0,11.0
>ENST00000526957.1,8.0,9.0,10.0,10.0,8.0,9.0,8.0,9.0,14.0,9.0,11.0,9.0,9.0,8.0,8.0,7.0,9.0,11.0,9.0,8.0,9.0,11.0,9.0,10.0,10.0,9.0,10.0,10.0,7.0,7.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,0.0,11.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,11.0,9.0,9.0,11.0,10.0,9.0,9.0,8.0
>ENST00000493276.1,8.0,8.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,8.0,10.0,11.0,7.0,11.0,7.0,8.0,9.0,8.0,8.0,10.0,10.0,9.0,9.0,10.0,8.0,10.0,9.0,10.0,8.0,7.0,9.0,10.0,10.0,8.0,10.0,10.0,10.0,8.0,11.0,0.0,8.0,8.0,8.0,9.0,8.0,10.0,9.0,9.0,9.0,11.0,11.0,8.0,11.0,8.0,9.0,11.0,8.0
>ENST00000603431.1,9.0,8.0,9.0,10.0,7.0,10.0,9.0,10.0,8.0,11.0,11.0,9.0,7.0,9.0,8.0,7.0,10.0,8.0,11.0,9.0,9.0,10.0,7.0,9.0,9.0,9.0,10.0,10.0,8.0,7.0,8.0,11.0,8.0,8.0,11.0,7.0,10.0,10.0,9.0,8.0,0.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,7.0,10.0,9.0
>ENST00000438311.1,8.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,8.0,9.0,10.0,8.0,9.0,7.0,7.0,10.0,9.0,9.0,9.0,8.0,9.0,7.0,10.0,9.0,11.0,9.0,9.0,8.0,7.0,8.0,9.0,9.0,8.0,8.0,10.0,8.0,7.0,8.0,8.0,9.0,0.0,8.0,9.0,9.0,9.0,10.0,7.0,8.0,9.0,9.0,7.0,11.0,8.0,10.0,11.0,8.0
>ENST00000567565.3,9.0,9.0,9.0,10.0,11.0,10.0,10.0,9.0,10.0,8.0,8.0,11.0,11.0,12.0,12.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,9.0,12.0,10.0,9.0,9.0,9.0,11.0,10.0,11.0,9.0,9.0,10.0,10.0,8.0,9.0,8.0,8.0,8.0,0.0,10.0,9.0,10.0,10.0,7.0,10.0,12.0,8.0,93.0,11.0,9.0,15.0,9.0,10.0
>ENST00000582212.1,7.0,7.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,7.0,9.0,9.0,7.0,9.0,8.0,9.0,11.0,9.0,10.0,8.0,10.0,11.0,15.0,8.0,9.0,8.0,8.0,12.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,0.0,8.0,10.0,10.0,10.0,8.0,10.0,11.0,10.0,11.0,11.0,8.0,9.0,8.0
>ENST00000571466.1,7.0,7.0,9.0,8.0,7.0,9.0,11.0,8.0,8.0,9.0,7.0,8.0,7.0,8.0,6.0,8.0,8.0,8.0,9.0,10.0,10.0,9.0,8.0,11.0,9.0,13.0,10.0,9.0,8.0,9.0,8.0,12.0,10.0,9.0,9.0,8.0,10.0,7.0,9.0,8.0,9.0,9.0,9.0,8.0,0.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,11.0,9.0,11.0,9.0,8.0
>ENST00000531034.1,7.0,10.0,8.0,10.0,8.0,9.0,12.0,8.0,9.0,8.0,10.0,10.0,8.0,9.0,8.0,10.0,11.0,9.0,9.0,9.0,10.0,9.0,8.0,11.0,9.0,11.0,8.0,9.0,9.0,7.0,9.0,10.0,10.0,8.0,9.0,11.0,9.0,8.0,10.0,10.0,8.0,9.0,10.0,10.0,8.0,0.0,9.0,8.0,9.0,8.0,10.0,8.0,10.0,8.0,12.0,10.0,10.0
>ENST00000422654.1,9.0,11.0,8.0,8.0,8.0,10.0,14.0,8.0,11.0,8.0,8.0,12.0,11.0,11.0,8.0,9.0,11.0,10.0,9.0,10.0,8.0,9.0,10.0,9.0,10.0,11.0,9.0,9.0,10.0,9.0,10.0,12.0,10.0,8.0,9.0,9.0,12.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,8.0,9.0,0.0,9.0,9.0,10.0,9.0,10.0,11.0,8.0,10.0,10.0,10.0
>ENST00000618167.1,7.0,8.0,10.0,8.0,9.0,8.0,8.0,10.0,9.0,8.0,9.0,10.0,9.0,9.0,7.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,11.0,9.0,9.0,8.0,11.0,8.0,9.0,10.0,10.0,7.0,10.0,8.0,10.0,6.0,8.0,9.0,8.0,7.0,7.0,10.0,7.0,8.0,9.0,0.0,11.0,9.0,8.0,8.0,11.0,10.0,8.0,10.0,10.0
>ENST00000447763.1,8.0,10.0,9.0,9.0,8.0,8.0,10.0,9.0,9.0,9.0,8.0,10.0,7.0,10.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,8.0,12.0,9.0,10.0,10.0,10.0,9.0,8.0,9.0,11.0,9.0,8.0,9.0,8.0,10.0,8.0,9.0,9.0,9.0,8.0,10.0,8.0,8.0,9.0,9.0,11.0,0.0,10.0,9.0,9.0,9.0,8.0,8.0,11.0,11.0
>ENST00000438766.1,8.0,10.0,9.0,9.0,9.0,9.0,11.0,9.0,10.0,9.0,8.0,12.0,10.0,15.0,9.0,9.0,11.0,10.0,9.0,12.0,11.0,10.0,9.0,11.0,10.0,11.0,11.0,9.0,9.0,8.0,10.0,11.0,9.0,10.0,10.0,11.0,10.0,10.0,11.0,11.0,9.0,9.0,12.0,10.0,8.0,8.0,10.0,9.0,10.0,0.0,9.0,12.0,11.0,9.0,12.0,9.0,10.0
>ENST00000604022.1,7.0,10.0,8.0,9.0,8.0,10.0,10.0,8.0,10.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,11.0,9.0,10.0,10.0,10.0,9.0,8.0,10.0,11.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,9.0,9.0,17.0,10.0,8.0,9.0,11.0,9.0,9.0,8.0,11.0,8.0,10.0,9.0,8.0,9.0,9.0,0.0,10.0,12.0,7.0,9.0,9.0,8.0
>ENST00000438675.1,9.0,7.0,10.0,14.0,11.0,8.0,9.0,7.0,9.0,8.0,8.0,10.0,11.0,12.0,9.0,9.0,8.0,9.0,11.0,9.0,8.0,10.0,8.0,9.0,10.0,14.0,11.0,10.0,9.0,13.0,11.0,11.0,9.0,10.0,9.0,14.0,10.0,8.0,9.0,8.0,8.0,7.0,93.0,10.0,8.0,8.0,10.0,8.0,9.0,12.0,10.0,0.0,11.0,8.0,15.0,9.0,10.0
>ENST00000411669.1,9.0,9.0,10.0,9.0,11.0,10.0,9.0,8.0,11.0,10.0,11.0,10.0,11.0,11.0,8.0,8.0,11.0,9.0,11.0,12.0,11.0,11.0,10.0,12.0,14.0,11.0,11.0,9.0,11.0,10.0,11.0,10.0,11.0,13.0,10.0,12.0,11.0,8.0,11.0,11.0,9.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,9.0,11.0,12.0,11.0,0.0,9.0,11.0,9.0,9.0
