,>ENST00000504528.2,>ENST00000618570.1,>ENST00000617434.1,ENSG00000199840.1,>ENST00000503202.1,>ENST00000457676.1,>ENST00000462417.1,>ENST00000457327.2,>ENST00000603126.1,>ENST00000298105.7,>ENST00000440642.1,>ENST00000452665.1,>ENST00000559840.1,>ENST00000433299.1,>ENST00000505994.1,>ENST00000427588.2,>ENST00000404861.1,ENSG00000263558.2,ENSG00000199603.1,>ENST00000623217.1,>ENST00000546033.1,>ENST00000404404.5,>ENST00000439324.2,>ENST00000571755.2,>ENST00000528639.2,>ENST00000452670.1,>ENST00000452221.1,>ENST00000458332.1,>ENST00000428618.1,ENSG00000189181.4,>ENST00000613083.1,>ENST00000565394.1,ENSG00000238243.3,ENSG00000197309.2,>ENST00000398578.2,>ENST00000618526.1,ENSG00000197540.7,>ENST00000433721.1
>ENST00000427588.2,13.0,10.0,9.0,6.0,10.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,7.0,7.0,10.0,0.0,9.0,7.0,8.0,8.0,10.0,10.0,9.0,8.0,8.0,11.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0
>ENST00000404861.1,10.0,9.0,13.0,9.0,9.0,9.0,7.0,8.0,11.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,0.0,8.0,9.0,8.0,10.0,11.0,8.0,12.0,8.0,10.0,9.0,9.0,8.0,9.0,10.0,8.0,9.0,11.0,11.0,11.0,11.0,8.0
ENSG00000263558.2,10.0,8.0,9.0,7.0,9.0,7.0,9.0,8.0,12.0,10.0,9.0,8.0,8.0,8.0,10.0,7.0,8.0,0.0,6.0,7.0,8.0,10.0,8.0,9.0,8.0,8.0,10.0,9.0,7.0,10.0,9.0,14.0,8.0,9.0,10.0,11.0,62.0,8.0
ENSG00000199603.1,10.0,9.0,8.0,6.0,9.0,11.0,8.0,6.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,6.0,0.0,7.0,7.0,9.0,6.0,8.0,8.0,7.0,8.0,9.0,8.0,10.0,8.0,8.0,9.0,8.0,9.0,7.0,10.0,7.0
>ENST00000623217.1,10.0,9.0,7.0,7.0,10.0,7.0,9.0,10.0,9.0,9.0,9.0,8.0,7.0,10.0,9.0,8.0,8.0,7.0,7.0,0.0,7.0,8.0,7.0,9.0,11.0,8.0,9.0,9.0,10.0,9.0,9.0,7.0,9.0,8.0,9.0,8.0,10.0,9.0
>ENST00000546033.1,11.0,9.0,14.0,7.0,9.0,9.0,9.0,9.0,11.0,9.0,13.0,11.0,10.0,8.0,10.0,10.0,10.0,8.0,7.0,7.0,0.0,12.0,8.0,11.0,9.0,9.0,11.0,10.0,8.0,10.0,10.0,8.0,10.0,9.0,11.0,8.0,11.0,9.0
>ENST00000404404.5,9.0,10.0,9.0,10.0,11.0,12.0,11.0,11.0,10.0,11.0,10.0,10.0,9.0,10.0,12.0,10.0,11.0,10.0,9.0,8.0,12.0,0.0,9.0,11.0,11.0,9.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,12.0,11.0,11.0,12.0,10.0
>ENST00000439324.2,12.0,9.0,10.0,6.0,9.0,8.0,9.0,10.0,8.0,8.0,10.0,9.0,8.0,9.0,12.0,9.0,8.0,8.0,6.0,7.0,8.0,9.0,0.0,8.0,8.0,9.0,9.0,10.0,9.0,8.0,10.0,7.0,9.0,8.0,9.0,8.0,14.0,7.0
>ENST00000571755.2,11.0,9.0,9.0,8.0,11.0,11.0,10.0,13.0,9.0,10.0,10.0,9.0,9.0,10.0,11.0,8.0,12.0,9.0,8.0,9.0,11.0,11.0,8.0,0.0,12.0,9.0,10.0,10.0,9.0,10.0,8.0,9.0,13.0,13.0,10.0,10.0,13.0,10.0
>ENST00000528639.2,10.0,9.0,10.0,9.0,10.0,9.0,10.0,11.0,13.0,10.0,10.0,8.0,10.0,9.0,11.0,8.0,8.0,8.0,8.0,11.0,9.0,11.0,8.0,12.0,0.0,9.0,11.0,9.0,10.0,11.0,9.0,8.0,9.0,10.0,13.0,10.0,12.0,8.0
>ENST00000452670.1,10.0,11.0,10.0,6.0,10.0,9.0,9.0,10.0,13.0,12.0,9.0,9.0,10.0,9.0,9.0,11.0,10.0,8.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,0.0,10.0,10.0,8.0,8.0,8.0,9.0,9.0,10.0,10.0,11.0,11.0,10.0
>ENST00000452221.1,11.0,11.0,11.0,8.0,11.0,9.0,10.0,9.0,10.0,12.0,10.0,10.0,10.0,10.0,11.0,9.0,9.0,10.0,8.0,9.0,11.0,10.0,9.0,10.0,11.0,10.0,0.0,9.0,9.0,11.0,12.0,9.0,10.0,10.0,11.0,10.0,13.0,10.0
>ENST00000458332.1,9.0,10.0,9.0,7.0,9.0,9.0,11.0,11.0,10.0,11.0,10.0,9.0,9.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,11.0,10.0,10.0,9.0,10.0,9.0,0.0,10.0,10.0,8.0,9.0,12.0,13.0,11.0,12.0,12.0,12.0
>ENST00000428618.1,9.0,8.0,11.0,7.0,8.0,7.0,9.0,11.0,10.0,11.0,10.0,9.0,7.0,9.0,10.0,9.0,8.0,7.0,8.0,10.0,8.0,10.0,9.0,9.0,10.0,8.0,9.0,10.0,0.0,10.0,10.0,8.0,11.0,10.0,10.0,10.0,10.0,9.0
ENSG00000189181.4,10.0,10.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,19.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,8.0,10.0,11.0,8.0,11.0,10.0,10.0,0.0,10.0,10.0,19.0,19.0,15.0,10.0,12.0,10.0
>ENST00000613083.1,10.0,11.0,14.0,11.0,11.0,9.0,9.0,9.0,11.0,10.0,9.0,10.0,9.0,9.0,12.0,10.0,10.0,9.0,8.0,9.0,10.0,10.0,10.0,8.0,9.0,8.0,12.0,8.0,10.0,10.0,0.0,10.0,11.0,11.0,11.0,10.0,11.0,11.0
>ENST00000565394.1,9.0,10.0,11.0,7.0,9.0,8.0,9.0,10.0,8.0,10.0,8.0,8.0,8.0,11.0,15.0,8.0,8.0,14.0,8.0,7.0,8.0,10.0,7.0,9.0,8.0,9.0,9.0,9.0,8.0,10.0,10.0,0.0,10.0,10.0,10.0,8.0,11.0,9.0
ENSG00000238243.3,11.0,11.0,9.0,11.0,11.0,8.0,11.0,11.0,9.0,15.0,11.0,8.0,8.0,13.0,11.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,13.0,9.0,9.0,10.0,12.0,11.0,19.0,11.0,10.0,0.0,14.0,11.0,10.0,15.0,11.0
ENSG00000197309.2,10.0,10.0,12.0,8.0,10.0,9.0,9.0,12.0,9.0,12.0,10.0,9.0,9.0,10.0,11.0,9.0,11.0,9.0,8.0,8.0,9.0,12.0,8.0,13.0,10.0,10.0,10.0,13.0,10.0,19.0,11.0,10.0,14.0,0.0,10.0,11.0,12.0,10.0
>ENST00000398578.2,12.0,10.0,11.0,9.0,11.0,9.0,11.0,10.0,12.0,12.0,12.0,12.0,9.0,10.0,13.0,9.0,11.0,10.0,9.0,9.0,11.0,11.0,9.0,10.0,13.0,10.0,11.0,11.0,10.0,15.0,11.0,10.0,11.0,10.0,0.0,11.0,12.0,10.0
>ENST00000618526.1,10.0,8.0,10.0,8.0,9.0,10.0,10.0,10.0,11.0,10.0,11.0,10.0,9.0,10.0,10.0,10.0,11.0,11.0,7.0,8.0,8.0,11.0,8.0,10.0,10.0,11.0,10.0,12.0,10.0,10.0,10.0,8.0,10.0,11.0,11.0,0.0,13.0,9.0
ENSG00000197540.7,11.0,13.0,11.0,9.0,10.0,11.0,12.0,10.0,11.0,10.0,11.0,10.0,11.0,12.0,14.0,10.0,11.0,62.0,10.0,10.0,11.0,12.0,14.0,13.0,12.0,11.0,13.0,12.0,10.0,12.0,11.0,11.0,15.0,12.0,12.0,13.0,0.0,12.0
>ENST00000433721.1,9.0,9.0,9.0,7.0,10.0,8.0,10.0,8.0,9.0,10.0,12.0,8.0,8.0,9.0,10.0,9.0,8.0,8.0,7.0,9.0,9.0,10.0,7.0,10.0,8.0,10.0,10.0,12.0,9.0,10.0,11.0,9.0,11.0,10.0,10.0,9.0,12.0,0.0
