,>ENST00000418154.1,>ENST00000453775.1,>ENST00000440602.1,>ENST00000635630.1,>ENST00000446429.1,>ENST00000584894.1,>ENST00000546853.2,>ENST00000358206.4,>ENST00000445028.1,>ENST00000427807.1,>ENST00000543361.1,>ENST00000439081.1,>ENST00000520218.1,>ENST00000554576.2,>ENST00000508840.1,>ENST00000510813.1,ENSG00000206700.1,>ENST00000548986.1,>ENST00000506355.2,>ENST00000451221.1,>ENST00000403865.2,>ENST00000477321.1,>ENST00000521342.1,>ENST00000416648.1,>ENST00000441292.1,>ENST00000429970.1,>ENST00000419352.1,>ENST00000515331.1,>ENST00000597891.1,>ENST00000560892.1,>ENST00000367074.4,>ENST00000439704.1,>ENST00000415066.1,>ENST00000474329.2,>ENST00000488441.2,>ENST00000457579.1,>ENST00000562032.1,>ENST00000430017.1,>ENST00000420915.1,>ENST00000602462.1,>ENST00000453762.1,>ENST00000507369.1,>ENST00000465586.1,>ENST00000392269.2,>ENST00000601784.1,>ENST00000531492.1,>ENST00000612765.1,>ENST00000356555.6,>ENST00000421173.1,>ENST00000588490.1,>ENST00000605689.1
>ENST00000543361.1,9.0,10.0,9.0,12.0,8.0,8.0,8.0,9.0,10.0,12.0,0.0,10.0,9.0,12.0,10.0,13.0,7.0,11.0,10.0,8.0,12.0,10.0,8.0,10.0,11.0,8.0,9.0,8.0,9.0,8.0,10.0,11.0,10.0,9.0,9.0,12.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,12.0,9.0,9.0,10.0,11.0,10.0
>ENST00000439081.1,9.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,12.0,10.0,0.0,9.0,12.0,10.0,10.0,7.0,9.0,9.0,8.0,10.0,9.0,8.0,11.0,10.0,9.0,10.0,9.0,9.0,12.0,11.0,10.0,9.0,9.0,9.0,12.0,12.0,11.0,8.0,10.0,11.0,10.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0
>ENST00000520218.1,9.0,10.0,11.0,10.0,9.0,8.0,8.0,8.0,9.0,13.0,9.0,9.0,0.0,7.0,10.0,10.0,6.0,8.0,8.0,9.0,10.0,9.0,12.0,9.0,9.0,10.0,8.0,7.0,9.0,8.0,9.0,9.0,8.0,8.0,8.0,11.0,9.0,8.0,10.0,8.0,9.0,8.0,9.0,8.0,8.0,10.0,7.0,9.0,7.0,9.0,10.0
>ENST00000554576.2,10.0,9.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,12.0,12.0,7.0,0.0,11.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,12.0,11.0,8.0,9.0,8.0,8.0,10.0,11.0,10.0,9.0,9.0,10.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,8.0,8.0,9.0,7.0,9.0,9.0
>ENST00000508840.1,12.0,10.0,11.0,10.0,10.0,9.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,11.0,0.0,10.0,8.0,12.0,9.0,12.0,12.0,12.0,9.0,10.0,10.0,9.0,10.0,9.0,11.0,10.0,10.0,11.0,11.0,12.0,9.0,12.0,12.0,10.0,13.0,11.0,12.0,10.0,10.0,9.0,9.0,10.0,10.0,12.0,9.0,10.0,11.0
>ENST00000510813.1,9.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,13.0,10.0,10.0,9.0,10.0,0.0,9.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,9.0,9.0,10.0,9.0,8.0,11.0,10.0,12.0,9.0,9.0,11.0,10.0,11.0,9.0,9.0,11.0,11.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,11.0,11.0
ENSG00000206700.1,8.0,10.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,6.0,8.0,8.0,9.0,0.0,7.0,8.0,10.0,10.0,8.0,6.0,7.0,7.0,9.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,7.0,7.0,7.0,9.0,10.0,8.0,6.0,9.0,7.0,10.0,10.0,9.0,8.0,9.0,7.0
>ENST00000548986.1,11.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,11.0,9.0,8.0,8.0,12.0,10.0,7.0,0.0,10.0,10.0,11.0,10.0,9.0,10.0,9.0,11.0,9.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,12.0,12.0,13.0,10.0,9.0,11.0,12.0,10.0,8.0,8.0,9.0,9.0,10.0,11.0,11.0,11.0,9.0
>ENST00000506355.2,8.0,11.0,9.0,10.0,8.0,8.0,8.0,8.0,9.0,10.0,10.0,9.0,8.0,9.0,9.0,10.0,8.0,10.0,0.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,7.0,7.0,9.0,10.0,9.0,11.0,8.0,10.0,12.0,10.0,9.0,8.0,9.0
>ENST00000451221.1,8.0,12.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,8.0,8.0,9.0,9.0,12.0,10.0,10.0,10.0,9.0,0.0,9.0,12.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,12.0,13.0,8.0,10.0,10.0,11.0,10.0,8.0,9.0,9.0,12.0,10.0,8.0,8.0,9.0,10.0,11.0,9.0,10.0,10.0
>ENST00000403865.2,10.0,11.0,12.0,9.0,13.0,9.0,12.0,9.0,11.0,11.0,12.0,10.0,10.0,9.0,12.0,12.0,10.0,11.0,9.0,9.0,0.0,9.0,10.0,11.0,10.0,9.0,10.0,11.0,12.0,9.0,12.0,11.0,12.0,9.0,9.0,12.0,11.0,11.0,10.0,10.0,12.0,11.0,8.0,9.0,8.0,10.0,10.0,12.0,11.0,10.0,10.0
>ENST00000477321.1,9.0,8.0,12.0,9.0,9.0,10.0,12.0,10.0,9.0,10.0,10.0,9.0,9.0,8.0,12.0,12.0,8.0,10.0,8.0,12.0,9.0,0.0,10.0,8.0,10.0,9.0,10.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,8.0,9.0,12.0,9.0,11.0,9.0,8.0,10.0,9.0,9.0,8.0,11.0,9.0,10.0,9.0
>ENST00000521342.1,8.0,10.0,7.0,10.0,9.0,9.0,9.0,12.0,9.0,11.0,8.0,8.0,12.0,8.0,9.0,10.0,6.0,9.0,9.0,8.0,10.0,10.0,0.0,9.0,8.0,11.0,9.0,10.0,9.0,9.0,10.0,12.0,8.0,8.0,8.0,10.0,8.0,9.0,12.0,9.0,10.0,8.0,9.0,8.0,8.0,10.0,8.0,9.0,10.0,10.0,8.0
>ENST00000416648.1,11.0,9.0,9.0,10.0,9.0,9.0,11.0,10.0,12.0,10.0,10.0,11.0,9.0,12.0,10.0,10.0,7.0,10.0,9.0,9.0,11.0,8.0,9.0,0.0,9.0,9.0,9.0,7.0,9.0,8.0,11.0,13.0,10.0,9.0,9.0,10.0,13.0,12.0,8.0,11.0,10.0,11.0,9.0,9.0,7.0,10.0,12.0,10.0,9.0,9.0,10.0
>ENST00000441292.1,9.0,8.0,10.0,8.0,8.0,6.0,8.0,9.0,8.0,9.0,11.0,10.0,9.0,11.0,10.0,9.0,7.0,9.0,9.0,9.0,10.0,10.0,8.0,9.0,0.0,8.0,9.0,8.0,9.0,10.0,10.0,10.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,10.0
>ENST00000429970.1,10.0,9.0,8.0,11.0,9.0,8.0,7.0,10.0,14.0,9.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,11.0,9.0,8.0,0.0,7.0,8.0,9.0,9.0,8.0,8.0,11.0,12.0,11.0,11.0,9.0,8.0,16.0,10.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,11.0,8.0,11.0,12.0
>ENST00000419352.1,9.0,12.0,10.0,11.0,8.0,8.0,8.0,8.0,9.0,14.0,9.0,10.0,8.0,9.0,10.0,10.0,6.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,7.0,0.0,8.0,9.0,8.0,10.0,9.0,9.0,10.0,10.0,11.0,14.0,10.0,8.0,10.0,9.0,9.0,9.0,10.0,8.0,12.0,9.0,10.0,9.0,9.0,9.0
>ENST00000515331.1,8.0,8.0,9.0,8.0,9.0,6.0,8.0,8.0,9.0,14.0,8.0,9.0,7.0,8.0,9.0,9.0,7.0,8.0,7.0,9.0,11.0,8.0,10.0,7.0,8.0,8.0,8.0,0.0,9.0,9.0,9.0,10.0,8.0,9.0,8.0,9.0,8.0,7.0,8.0,7.0,9.0,9.0,8.0,11.0,7.0,9.0,8.0,9.0,8.0,11.0,11.0
>ENST00000597891.1,8.0,9.0,8.0,10.0,9.0,11.0,8.0,9.0,11.0,10.0,9.0,9.0,9.0,8.0,11.0,8.0,7.0,9.0,8.0,9.0,12.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,10.0,9.0,12.0,10.0,9.0,9.0,10.0,10.0,9.0,11.0,8.0,10.0,9.0,8.0,8.0,8.0,10.0,10.0,10.0,8.0,10.0,9.0
>ENST00000560892.1,8.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,8.0,12.0,8.0,10.0,10.0,11.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,9.0,10.0,0.0,10.0,10.0,9.0,8.0,11.0,10.0,9.0,7.0,9.0,10.0,8.0,9.0,9.0,9.0,6.0,9.0,8.0,9.0,9.0,9.0,8.0
>ENST00000367074.4,11.0,11.0,9.0,11.0,11.0,8.0,9.0,9.0,11.0,11.0,10.0,11.0,9.0,11.0,10.0,10.0,8.0,10.0,9.0,10.0,12.0,9.0,10.0,11.0,10.0,8.0,10.0,9.0,9.0,10.0,0.0,12.0,11.0,10.0,10.0,10.0,13.0,9.0,10.0,9.0,10.0,10.0,11.0,10.0,10.0,10.0,13.0,11.0,11.0,15.0,11.0
>ENST00000439704.1,12.0,11.0,9.0,10.0,10.0,11.0,8.0,10.0,11.0,12.0,11.0,10.0,9.0,10.0,11.0,12.0,8.0,9.0,9.0,12.0,11.0,10.0,12.0,13.0,10.0,8.0,9.0,10.0,12.0,10.0,12.0,0.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,11.0,11.0,10.0,9.0,9.0,9.0,10.0,10.0,12.0,11.0,12.0
>ENST00000415066.1,9.0,10.0,9.0,8.0,9.0,8.0,11.0,8.0,10.0,10.0,10.0,9.0,8.0,9.0,11.0,9.0,8.0,10.0,9.0,13.0,12.0,9.0,8.0,10.0,9.0,11.0,9.0,8.0,10.0,9.0,11.0,9.0,0.0,10.0,10.0,12.0,10.0,10.0,8.0,9.0,11.0,11.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,12.0
>ENST00000474329.2,11.0,8.0,10.0,11.0,8.0,11.0,9.0,11.0,9.0,9.0,9.0,9.0,8.0,9.0,12.0,9.0,8.0,9.0,9.0,8.0,9.0,10.0,8.0,9.0,8.0,12.0,10.0,9.0,9.0,8.0,10.0,9.0,10.0,0.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,11.0,9.0
>ENST00000488441.2,10.0,8.0,9.0,10.0,11.0,9.0,8.0,11.0,12.0,10.0,9.0,9.0,8.0,10.0,9.0,11.0,8.0,12.0,9.0,10.0,9.0,10.0,8.0,9.0,10.0,11.0,10.0,8.0,9.0,11.0,10.0,9.0,10.0,9.0,0.0,10.0,9.0,10.0,9.0,11.0,11.0,9.0,8.0,10.0,8.0,11.0,9.0,10.0,9.0,10.0,10.0
>ENST00000457579.1,12.0,11.0,9.0,10.0,9.0,9.0,11.0,10.0,11.0,13.0,12.0,12.0,11.0,10.0,12.0,10.0,10.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,11.0,11.0,9.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,0.0,12.0,10.0,11.0,9.0,12.0,10.0,10.0,10.0,9.0,11.0,10.0,11.0,12.0,11.0,11.0
>ENST00000562032.1,9.0,9.0,11.0,10.0,9.0,8.0,9.0,11.0,11.0,10.0,10.0,12.0,9.0,8.0,12.0,11.0,7.0,13.0,10.0,11.0,11.0,8.0,8.0,13.0,9.0,9.0,14.0,8.0,10.0,9.0,13.0,9.0,10.0,9.0,9.0,12.0,0.0,10.0,11.0,11.0,10.0,9.0,10.0,9.0,10.0,9.0,8.0,11.0,11.0,11.0,9.0
>ENST00000430017.1,9.0,8.0,10.0,8.0,7.0,9.0,9.0,8.0,9.0,10.0,8.0,11.0,8.0,9.0,10.0,9.0,7.0,10.0,9.0,10.0,11.0,9.0,9.0,12.0,9.0,8.0,10.0,7.0,9.0,7.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,0.0,8.0,8.0,10.0,8.0,8.0,10.0,7.0,10.0,10.0,10.0,10.0,9.0,9.0
>ENST00000420915.1,9.0,10.0,10.0,11.0,8.0,9.0,8.0,11.0,10.0,10.0,9.0,8.0,10.0,8.0,13.0,9.0,7.0,9.0,7.0,8.0,10.0,12.0,12.0,8.0,9.0,16.0,8.0,8.0,11.0,9.0,10.0,9.0,8.0,9.0,9.0,11.0,11.0,8.0,0.0,10.0,11.0,9.0,7.0,9.0,9.0,11.0,9.0,10.0,8.0,10.0,9.0
>ENST00000602462.1,10.0,9.0,9.0,11.0,8.0,8.0,8.0,10.0,11.0,11.0,8.0,10.0,8.0,9.0,11.0,11.0,9.0,11.0,7.0,9.0,10.0,9.0,9.0,11.0,8.0,10.0,10.0,7.0,8.0,10.0,9.0,9.0,9.0,10.0,11.0,9.0,11.0,8.0,10.0,0.0,11.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0
>ENST00000453762.1,11.0,10.0,9.0,9.0,10.0,8.0,9.0,11.0,11.0,9.0,9.0,11.0,9.0,9.0,12.0,11.0,10.0,12.0,9.0,9.0,12.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,11.0,11.0,9.0,11.0,12.0,10.0,10.0,11.0,11.0,0.0,10.0,8.0,8.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0
>ENST00000507369.1,9.0,10.0,8.0,10.0,9.0,8.0,8.0,11.0,10.0,11.0,9.0,10.0,8.0,9.0,10.0,10.0,8.0,10.0,10.0,12.0,11.0,9.0,8.0,11.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,11.0,11.0,10.0,9.0,10.0,9.0,8.0,9.0,8.0,10.0,0.0,8.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0
>ENST00000465586.1,8.0,10.0,9.0,8.0,9.0,7.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,10.0,9.0,6.0,8.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,11.0,10.0,9.0,8.0,8.0,10.0,10.0,8.0,7.0,8.0,8.0,8.0,0.0,8.0,7.0,9.0,11.0,12.0,8.0,8.0,9.0
>ENST00000392269.2,9.0,9.0,8.0,8.0,10.0,10.0,8.0,8.0,10.0,11.0,10.0,8.0,8.0,10.0,9.0,10.0,9.0,8.0,11.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,10.0,11.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,8.0,0.0,8.0,10.0,8.0,10.0,9.0,9.0,10.0
>ENST00000601784.1,8.0,9.0,8.0,9.0,9.0,7.0,8.0,8.0,10.0,9.0,10.0,8.0,8.0,9.0,9.0,10.0,7.0,9.0,8.0,8.0,8.0,9.0,8.0,7.0,9.0,8.0,8.0,7.0,8.0,6.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,7.0,9.0,9.0,9.0,8.0,7.0,8.0,0.0,8.0,8.0,9.0,7.0,9.0,10.0
>ENST00000531492.1,10.0,11.0,10.0,9.0,10.0,8.0,10.0,9.0,10.0,11.0,12.0,9.0,10.0,8.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,8.0,8.0,12.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,11.0,11.0,9.0,10.0,11.0,9.0,10.0,9.0,9.0,10.0,8.0,0.0,12.0,10.0,11.0,11.0,12.0
>ENST00000612765.1,9.0,8.0,8.0,10.0,11.0,8.0,9.0,9.0,10.0,12.0,9.0,9.0,7.0,8.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,8.0,8.0,12.0,9.0,9.0,9.0,8.0,10.0,8.0,13.0,10.0,10.0,10.0,9.0,10.0,8.0,10.0,9.0,9.0,9.0,10.0,11.0,8.0,8.0,12.0,0.0,11.0,8.0,9.0,10.0
>ENST00000356555.6,11.0,9.0,11.0,9.0,10.0,8.0,12.0,10.0,10.0,12.0,9.0,9.0,9.0,9.0,12.0,10.0,9.0,11.0,10.0,11.0,12.0,11.0,9.0,10.0,10.0,11.0,10.0,9.0,10.0,9.0,11.0,10.0,10.0,9.0,10.0,11.0,11.0,10.0,10.0,9.0,10.0,10.0,12.0,10.0,9.0,10.0,11.0,0.0,9.0,10.0,10.0
>ENST00000421173.1,11.0,8.0,8.0,7.0,8.0,8.0,8.0,11.0,9.0,10.0,10.0,9.0,7.0,7.0,9.0,9.0,8.0,11.0,9.0,9.0,11.0,9.0,10.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,11.0,12.0,9.0,8.0,9.0,12.0,11.0,10.0,8.0,9.0,10.0,9.0,8.0,9.0,7.0,11.0,8.0,9.0,0.0,9.0,11.0
>ENST00000588490.1,9.0,9.0,11.0,11.0,9.0,8.0,9.0,10.0,10.0,10.0,11.0,9.0,9.0,9.0,10.0,11.0,9.0,11.0,8.0,10.0,10.0,10.0,10.0,9.0,10.0,11.0,9.0,11.0,10.0,9.0,15.0,11.0,10.0,11.0,10.0,11.0,11.0,9.0,10.0,10.0,10.0,9.0,8.0,9.0,9.0,11.0,9.0,10.0,9.0,0.0,10.0
>ENST00000605689.1,9.0,9.0,8.0,10.0,8.0,10.0,10.0,15.0,10.0,9.0,10.0,10.0,10.0,9.0,11.0,11.0,7.0,9.0,9.0,10.0,10.0,9.0,8.0,10.0,10.0,12.0,9.0,11.0,9.0,8.0,11.0,12.0,12.0,9.0,10.0,11.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,12.0,10.0,10.0,11.0,10.0,0.0
