,>ENST00000589763.1,>ENST00000433967.2,>ENST00000510983.2,>ENST00000400413.2,>ENST00000553218.1,>ENST00000529003.1,>ENST00000510392.1,>ENST00000413663.1,>ENST00000473520.1,>ENST00000579213.1,>ENST00000569033.1,>ENST00000401880.1,>ENST00000577627.1,>ENST00000444350.1,>ENST00000514391.1,>ENST00000583145.1,>ENST00000440782.3,ENSG00000271817.2,>ENST00000509592.1,>ENST00000578561.1,>ENST00000604252.1,>ENST00000404272.2,>ENST00000428456.1,>ENST00000556311.2,>ENST00000469688.2,>ENST00000604976.1,>ENST00000366423.2,ENSG00000267303.1,>ENST00000556317.1,>ENST00000406203.1,>ENST00000458706.1,ENSG00000243532.3,>ENST00000437336.1,>ENST00000443733.1,>ENST00000626421.1,>ENST00000446054.1,>ENST00000622058.1,>ENST00000614250.1,>ENST00000430869.2,>ENST00000555663.1,>ENST00000633081.1,>ENST00000454445.1,>ENST00000443781.1,>ENST00000485045.1,>ENST00000445200.1,>ENST00000604436.1,>ENST00000609613.1,>ENST00000616011.1,>ENST00000604960.1,>ENST00000621823.1,>ENST00000452777.1,>ENST00000440142.2
>ENST00000569033.1,9.0,8.0,7.0,10.0,8.0,8.0,10.0,8.0,10.0,7.0,0.0,10.0,7.0,11.0,8.0,9.0,10.0,7.0,9.0,8.0,8.0,8.0,7.0,9.0,7.0,7.0,8.0,10.0,8.0,9.0,8.0,8.0,10.0,6.0,6.0,7.0,11.0,8.0,7.0,9.0,10.0,8.0,10.0,7.0,9.0,8.0,9.0,8.0,8.0,9.0,7.0,7.0
>ENST00000401880.1,11.0,10.0,9.0,11.0,11.0,11.0,10.0,10.0,14.0,8.0,10.0,0.0,10.0,10.0,11.0,13.0,12.0,9.0,10.0,14.0,10.0,10.0,13.0,13.0,12.0,10.0,9.0,13.0,10.0,10.0,9.0,10.0,10.0,8.0,11.0,10.0,12.0,10.0,9.0,10.0,9.0,12.0,10.0,9.0,9.0,9.0,12.0,11.0,10.0,9.0,9.0,10.0
>ENST00000577627.1,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,7.0,7.0,10.0,0.0,9.0,9.0,10.0,11.0,8.0,9.0,9.0,8.0,9.0,9.0,14.0,8.0,8.0,11.0,11.0,9.0,10.0,10.0,8.0,9.0,8.0,7.0,9.0,10.0,7.0,9.0,12.0,9.0,11.0,10.0,9.0,9.0,9.0,11.0,8.0,9.0,9.0,8.0,9.0
>ENST00000444350.1,11.0,12.0,9.0,10.0,9.0,10.0,9.0,9.0,11.0,10.0,11.0,10.0,9.0,0.0,9.0,11.0,11.0,12.0,9.0,9.0,11.0,11.0,9.0,10.0,8.0,9.0,9.0,11.0,9.0,10.0,9.0,11.0,12.0,7.0,10.0,11.0,11.0,8.0,10.0,9.0,9.0,9.0,9.0,8.0,37.0,9.0,10.0,10.0,9.0,10.0,10.0,11.0
>ENST00000514391.1,9.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,7.0,8.0,11.0,9.0,9.0,0.0,8.0,9.0,8.0,11.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,7.0,10.0,10.0,6.0,8.0,8.0,9.0,8.0,8.0,10.0,8.0,11.0,8.0,8.0,11.0,10.0,9.0,8.0,8.0,9.0,8.0,10.0
>ENST00000583145.1,10.0,9.0,9.0,10.0,9.0,12.0,9.0,9.0,10.0,9.0,9.0,13.0,10.0,11.0,8.0,0.0,12.0,9.0,9.0,10.0,15.0,9.0,10.0,11.0,9.0,9.0,9.0,13.0,12.0,9.0,10.0,11.0,9.0,7.0,7.0,11.0,9.0,8.0,12.0,10.0,10.0,11.0,9.0,8.0,15.0,10.0,9.0,9.0,8.0,8.0,8.0,11.0
>ENST00000440782.3,13.0,10.0,11.0,12.0,11.0,11.0,12.0,10.0,11.0,10.0,10.0,12.0,11.0,11.0,9.0,12.0,0.0,10.0,9.0,10.0,10.0,13.0,9.0,11.0,9.0,9.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,11.0,10.0,9.0,10.0,8.0,10.0,9.0,10.0,11.0,10.0,12.0,10.0,9.0,10.0,11.0,11.0
ENSG00000271817.2,9.0,11.0,6.0,8.0,8.0,9.0,9.0,8.0,7.0,7.0,7.0,9.0,8.0,12.0,8.0,9.0,10.0,0.0,10.0,10.0,8.0,8.0,7.0,9.0,8.0,9.0,6.0,12.0,7.0,8.0,7.0,8.0,9.0,7.0,6.0,9.0,8.0,7.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,7.0,9.0,7.0,9.0,8.0,7.0,10.0
>ENST00000509592.1,12.0,9.0,9.0,10.0,10.0,10.0,10.0,8.0,9.0,8.0,9.0,10.0,9.0,9.0,11.0,9.0,9.0,10.0,0.0,12.0,9.0,10.0,8.0,11.0,8.0,8.0,9.0,12.0,8.0,12.0,9.0,8.0,9.0,7.0,6.0,8.0,10.0,7.0,8.0,8.0,11.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,8.0,13.0
>ENST00000578561.1,10.0,8.0,10.0,9.0,10.0,9.0,11.0,11.0,11.0,8.0,8.0,14.0,9.0,9.0,10.0,10.0,10.0,10.0,12.0,0.0,13.0,10.0,9.0,10.0,9.0,8.0,9.0,11.0,9.0,12.0,11.0,9.0,10.0,7.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,13.0,10.0,9.0,9.0,11.0,11.0,9.0,9.0,9.0,9.0,9.0
>ENST00000604252.1,9.0,10.0,10.0,10.0,9.0,10.0,10.0,11.0,10.0,8.0,8.0,10.0,8.0,11.0,9.0,15.0,10.0,8.0,9.0,13.0,0.0,9.0,9.0,13.0,8.0,8.0,13.0,11.0,9.0,10.0,9.0,9.0,13.0,7.0,9.0,9.0,10.0,9.0,8.0,10.0,9.0,11.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,8.0,11.0
>ENST00000404272.2,10.0,8.0,8.0,10.0,10.0,12.0,10.0,8.0,11.0,9.0,8.0,10.0,9.0,11.0,10.0,9.0,13.0,8.0,10.0,10.0,9.0,0.0,8.0,10.0,9.0,9.0,8.0,10.0,14.0,10.0,9.0,9.0,10.0,7.0,8.0,11.0,8.0,8.0,8.0,9.0,8.0,11.0,9.0,9.0,11.0,9.0,9.0,10.0,8.0,9.0,7.0,11.0
>ENST00000428456.1,8.0,8.0,7.0,11.0,9.0,10.0,8.0,8.0,8.0,8.0,7.0,13.0,9.0,9.0,8.0,10.0,9.0,7.0,8.0,9.0,9.0,8.0,0.0,9.0,7.0,7.0,9.0,9.0,7.0,10.0,8.0,8.0,9.0,7.0,8.0,8.0,8.0,7.0,10.0,8.0,7.0,11.0,8.0,7.0,9.0,7.0,9.0,8.0,8.0,9.0,8.0,7.0
>ENST00000556311.2,10.0,8.0,10.0,10.0,9.0,9.0,9.0,11.0,12.0,8.0,9.0,13.0,14.0,10.0,9.0,11.0,11.0,9.0,11.0,10.0,13.0,10.0,9.0,0.0,9.0,11.0,8.0,11.0,7.0,10.0,9.0,13.0,10.0,9.0,8.0,8.0,10.0,9.0,10.0,11.0,9.0,12.0,9.0,12.0,9.0,9.0,9.0,11.0,9.0,9.0,8.0,9.0
>ENST00000469688.2,9.0,8.0,8.0,8.0,9.0,8.0,11.0,8.0,10.0,8.0,7.0,12.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,7.0,9.0,0.0,8.0,8.0,11.0,8.0,9.0,9.0,9.0,8.0,8.0,7.0,9.0,8.0,14.0,151.0,9.0,9.0,10.0,9.0,8.0,7.0,10.0,9.0,8.0,8.0,13.0,7.0,10.0
>ENST00000604976.1,8.0,8.0,8.0,10.0,10.0,9.0,10.0,7.0,10.0,6.0,7.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,7.0,11.0,8.0,0.0,8.0,10.0,10.0,9.0,8.0,8.0,8.0,7.0,7.0,9.0,8.0,8.0,9.0,8.0,10.0,10.0,12.0,8.0,9.0,8.0,9.0,7.0,8.0,9.0,7.0,8.0
>ENST00000366423.2,11.0,9.0,8.0,9.0,12.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,11.0,9.0,9.0,9.0,10.0,6.0,9.0,9.0,13.0,8.0,9.0,8.0,8.0,8.0,0.0,13.0,8.0,9.0,9.0,7.0,10.0,6.0,6.0,8.0,9.0,7.0,9.0,10.0,7.0,11.0,9.0,7.0,9.0,9.0,8.0,7.0,8.0,8.0,8.0,8.0
ENSG00000267303.1,11.0,11.0,10.0,11.0,13.0,11.0,11.0,11.0,14.0,11.0,10.0,13.0,11.0,11.0,10.0,13.0,12.0,12.0,12.0,11.0,11.0,10.0,9.0,11.0,11.0,10.0,13.0,0.0,9.0,13.0,10.0,23.0,10.0,11.0,17.0,11.0,13.0,9.0,11.0,12.0,9.0,14.0,12.0,11.0,12.0,11.0,10.0,10.0,11.0,9.0,11.0,11.0
>ENST00000556317.1,9.0,8.0,7.0,9.0,9.0,9.0,8.0,9.0,9.0,6.0,8.0,10.0,9.0,9.0,8.0,12.0,10.0,7.0,8.0,9.0,9.0,14.0,7.0,7.0,8.0,10.0,8.0,9.0,0.0,9.0,9.0,7.0,9.0,8.0,6.0,120.0,11.0,7.0,11.0,9.0,8.0,10.0,10.0,10.0,8.0,7.0,9.0,7.0,8.0,7.0,7.0,10.0
>ENST00000406203.1,11.0,9.0,9.0,10.0,10.0,11.0,10.0,11.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,8.0,12.0,12.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,13.0,9.0,0.0,11.0,9.0,10.0,11.0,6.0,10.0,9.0,9.0,10.0,9.0,10.0,14.0,10.0,9.0,11.0,11.0,11.0,9.0,11.0,9.0,9.0,10.0
>ENST00000458706.1,8.0,9.0,7.0,11.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0,7.0,10.0,10.0,7.0,9.0,11.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0,11.0,0.0,8.0,11.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,11.0,10.0,8.0,9.0,254.0,9.0,7.0,8.0,9.0,8.0,9.0
ENSG00000243532.3,9.0,8.0,7.0,9.0,9.0,11.0,8.0,8.0,10.0,9.0,8.0,10.0,8.0,11.0,10.0,11.0,10.0,8.0,8.0,9.0,9.0,9.0,8.0,13.0,9.0,8.0,7.0,23.0,7.0,9.0,8.0,0.0,9.0,6.0,8.0,8.0,11.0,9.0,8.0,8.0,7.0,11.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,11.0
>ENST00000437336.1,9.0,9.0,9.0,11.0,9.0,10.0,11.0,9.0,11.0,9.0,10.0,10.0,9.0,12.0,10.0,9.0,10.0,9.0,9.0,10.0,13.0,10.0,9.0,10.0,8.0,8.0,10.0,10.0,9.0,10.0,11.0,9.0,0.0,8.0,10.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,11.0,11.0,9.0,9.0,11.0,10.0,11.0,9.0
>ENST00000443733.1,7.0,6.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,5.0,6.0,8.0,8.0,7.0,6.0,7.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,8.0,7.0,6.0,11.0,8.0,11.0,9.0,6.0,8.0,0.0,7.0,7.0,7.0,9.0,11.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0
>ENST00000626421.1,8.0,6.0,7.0,7.0,7.0,7.0,10.0,8.0,7.0,5.0,6.0,11.0,7.0,10.0,8.0,7.0,9.0,6.0,6.0,9.0,9.0,8.0,8.0,8.0,7.0,7.0,6.0,17.0,6.0,6.0,8.0,8.0,10.0,7.0,0.0,8.0,10.0,6.0,7.0,10.0,10.0,9.0,9.0,7.0,7.0,7.0,8.0,10.0,9.0,8.0,7.0,7.0
>ENST00000446054.1,10.0,9.0,7.0,11.0,8.0,9.0,8.0,9.0,9.0,7.0,7.0,10.0,9.0,11.0,8.0,11.0,10.0,9.0,8.0,9.0,9.0,11.0,8.0,8.0,9.0,9.0,8.0,11.0,120.0,10.0,9.0,8.0,9.0,7.0,8.0,0.0,11.0,8.0,11.0,10.0,10.0,11.0,9.0,10.0,9.0,9.0,9.0,8.0,8.0,8.0,7.0,9.0
>ENST00000622058.1,9.0,15.0,10.0,11.0,8.0,11.0,9.0,9.0,11.0,8.0,11.0,12.0,10.0,11.0,9.0,9.0,11.0,8.0,10.0,9.0,10.0,8.0,8.0,10.0,8.0,8.0,9.0,13.0,11.0,9.0,9.0,11.0,10.0,7.0,10.0,11.0,0.0,12.0,9.0,12.0,10.0,12.0,9.0,9.0,13.0,13.0,9.0,9.0,8.0,10.0,8.0,10.0
>ENST00000614250.1,7.0,7.0,6.0,8.0,9.0,9.0,11.0,10.0,9.0,7.0,8.0,10.0,7.0,8.0,8.0,8.0,10.0,7.0,7.0,8.0,9.0,8.0,7.0,9.0,14.0,8.0,7.0,9.0,7.0,9.0,8.0,9.0,9.0,9.0,6.0,8.0,12.0,0.0,10.0,9.0,9.0,11.0,10.0,7.0,8.0,8.0,9.0,8.0,8.0,10.0,8.0,9.0
>ENST00000430869.2,9.0,7.0,7.0,8.0,9.0,10.0,9.0,8.0,9.0,8.0,7.0,9.0,9.0,10.0,8.0,12.0,9.0,9.0,8.0,9.0,8.0,8.0,10.0,10.0,151.0,9.0,9.0,11.0,11.0,10.0,9.0,8.0,8.0,11.0,7.0,11.0,9.0,10.0,0.0,8.0,8.0,10.0,8.0,8.0,8.0,10.0,8.0,7.0,7.0,9.0,7.0,10.0
>ENST00000555663.1,10.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,11.0,8.0,9.0,10.0,12.0,9.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0,9.0,8.0,11.0,9.0,8.0,10.0,12.0,9.0,9.0,9.0,8.0,10.0,7.0,10.0,10.0,12.0,9.0,8.0,0.0,9.0,10.0,8.0,11.0,10.0,9.0,9.0,9.0,9.0,13.0,8.0,9.0
>ENST00000633081.1,9.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,10.0,7.0,10.0,9.0,9.0,9.0,8.0,10.0,8.0,9.0,11.0,10.0,9.0,8.0,7.0,9.0,9.0,10.0,7.0,9.0,8.0,10.0,8.0,7.0,9.0,7.0,10.0,10.0,10.0,9.0,8.0,9.0,0.0,9.0,10.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0
>ENST00000454445.1,10.0,10.0,11.0,11.0,10.0,10.0,11.0,10.0,9.0,9.0,8.0,12.0,11.0,9.0,11.0,11.0,10.0,10.0,10.0,13.0,11.0,11.0,11.0,12.0,10.0,10.0,11.0,14.0,10.0,14.0,11.0,11.0,9.0,8.0,9.0,11.0,12.0,11.0,10.0,10.0,9.0,0.0,11.0,9.0,12.0,10.0,13.0,11.0,11.0,12.0,11.0,11.0
>ENST00000443781.1,10.0,8.0,8.0,8.0,10.0,12.0,8.0,9.0,8.0,8.0,10.0,10.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,8.0,9.0,9.0,12.0,9.0,12.0,10.0,10.0,10.0,8.0,9.0,7.0,9.0,9.0,9.0,10.0,8.0,8.0,10.0,11.0,0.0,8.0,8.0,10.0,10.0,9.0,8.0,8.0,9.0,9.0
>ENST00000485045.1,10.0,10.0,9.0,11.0,9.0,10.0,9.0,8.0,9.0,10.0,7.0,9.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,10.0,9.0,7.0,12.0,8.0,8.0,7.0,11.0,10.0,9.0,8.0,8.0,9.0,7.0,7.0,10.0,9.0,7.0,8.0,11.0,8.0,9.0,8.0,0.0,8.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0
>ENST00000445200.1,10.0,8.0,9.0,11.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,37.0,11.0,15.0,11.0,9.0,10.0,9.0,10.0,11.0,9.0,9.0,7.0,9.0,9.0,12.0,8.0,11.0,9.0,9.0,11.0,7.0,7.0,9.0,13.0,8.0,8.0,10.0,8.0,12.0,8.0,8.0,0.0,9.0,10.0,10.0,9.0,10.0,7.0,9.0
>ENST00000604436.1,8.0,9.0,7.0,11.0,8.0,11.0,11.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,7.0,9.0,11.0,9.0,9.0,7.0,9.0,10.0,8.0,9.0,11.0,7.0,11.0,254.0,8.0,11.0,8.0,7.0,9.0,13.0,8.0,10.0,9.0,7.0,10.0,10.0,8.0,9.0,0.0,9.0,7.0,8.0,8.0,7.0,10.0
>ENST00000609613.1,10.0,9.0,9.0,9.0,11.0,16.0,13.0,9.0,9.0,9.0,9.0,12.0,11.0,10.0,9.0,9.0,12.0,9.0,9.0,11.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,11.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,13.0,10.0,10.0,10.0,9.0,0.0,8.0,11.0,10.0,9.0,9.0
>ENST00000616011.1,10.0,7.0,8.0,10.0,8.0,7.0,8.0,8.0,11.0,7.0,8.0,11.0,8.0,10.0,8.0,9.0,10.0,7.0,9.0,9.0,10.0,10.0,8.0,11.0,8.0,7.0,7.0,10.0,7.0,9.0,7.0,8.0,9.0,8.0,10.0,8.0,9.0,8.0,7.0,9.0,8.0,11.0,9.0,9.0,10.0,7.0,8.0,0.0,8.0,10.0,9.0,8.0
>ENST00000604960.1,9.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,7.0,8.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,8.0,8.0,8.0,11.0,8.0,11.0,8.0,8.0,11.0,7.0,9.0,8.0,8.0,8.0,7.0,9.0,8.0,11.0,8.0,8.0,9.0,8.0,11.0,8.0,0.0,9.0,7.0,9.0
>ENST00000621823.1,10.0,8.0,10.0,10.0,10.0,9.0,10.0,7.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,10.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,13.0,9.0,8.0,9.0,7.0,9.0,9.0,8.0,10.0,7.0,8.0,8.0,10.0,10.0,9.0,13.0,8.0,12.0,8.0,9.0,10.0,8.0,10.0,10.0,9.0,0.0,9.0,10.0
>ENST00000452777.1,8.0,6.0,9.0,8.0,8.0,10.0,8.0,7.0,7.0,7.0,7.0,9.0,8.0,10.0,8.0,8.0,11.0,7.0,8.0,9.0,8.0,7.0,8.0,8.0,7.0,7.0,8.0,11.0,7.0,9.0,8.0,8.0,11.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,7.0,11.0,9.0,9.0,7.0,7.0,9.0,9.0,7.0,9.0,0.0,8.0
>ENST00000440142.2,10.0,8.0,8.0,10.0,9.0,9.0,10.0,10.0,10.0,12.0,7.0,10.0,9.0,11.0,10.0,11.0,11.0,10.0,13.0,9.0,11.0,11.0,7.0,9.0,10.0,8.0,8.0,11.0,10.0,10.0,9.0,11.0,9.0,8.0,7.0,9.0,10.0,9.0,10.0,9.0,8.0,11.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,8.0,0.0
