,>ENST00000447084.1,>ENST00000450345.1,>ENST00000606028.1,>ENST00000522465.1,>ENST00000450021.1,>ENST00000424262.1,>ENST00000550377.1,>ENST00000514359.1,>ENST00000531577.1,>ENST00000447373.2,>ENST00000569484.1,>ENST00000521019.1,>ENST00000457299.2,>ENST00000616658.1,>ENST00000416567.1,>ENST00000426903.1,>ENST00000450455.1,ENSG00000282988.1,>ENST00000560822.1,>ENST00000537214.1,>ENST00000486306.1,>ENST00000455094.1,>ENST00000508720.2,>ENST00000557959.1,>ENST00000400550.2,>ENST00000492984.2,>ENST00000431423.2,>ENST00000291129.4,>ENST00000438337.2,>ENST00000405102.1,>ENST00000604995.1,>ENST00000605504.1,>ENST00000486071.1,>ENST00000443330.1,>ENST00000562089.2,>ENST00000434514.1,>ENST00000560515.1,>ENST00000458227.1,>ENST00000420036.1,>ENST00000417848.2,>ENST00000406908.3,>ENST00000552501.1,>ENST00000563678.1,>ENST00000436935.2,>ENST00000625203.1,>ENST00000445539.1,>ENST00000623930.1,>ENST00000600110.1,>ENST00000440210.1,>ENST00000472521.1
>ENST00000569484.1,9.0,9.0,10.0,8.0,11.0,7.0,5.0,9.0,10.0,9.0,0.0,6.0,9.0,9.0,8.0,10.0,7.0,9.0,9.0,7.0,8.0,9.0,7.0,11.0,9.0,8.0,10.0,9.0,11.0,8.0,12.0,12.0,10.0,10.0,11.0,9.0,9.0,7.0,7.0,9.0,11.0,13.0,11.0,10.0,9.0,9.0,8.0,8.0,7.0,7.0
>ENST00000521019.1,10.0,7.0,9.0,8.0,9.0,7.0,7.0,8.0,10.0,7.0,6.0,0.0,7.0,9.0,9.0,7.0,7.0,10.0,6.0,6.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,10.0,5.0,7.0,9.0,8.0,10.0,7.0,6.0,9.0,9.0,7.0,7.0,10.0,8.0,8.0,8.0,8.0,9.0,7.0,7.0
>ENST00000457299.2,9.0,8.0,10.0,10.0,11.0,9.0,11.0,9.0,10.0,10.0,9.0,7.0,0.0,9.0,10.0,10.0,9.0,12.0,11.0,9.0,10.0,11.0,9.0,11.0,10.0,9.0,12.0,11.0,13.0,10.0,8.0,8.0,9.0,11.0,13.0,9.0,9.0,8.0,9.0,10.0,12.0,9.0,11.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0
>ENST00000616658.1,10.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,12.0,9.0,9.0,9.0,0.0,10.0,12.0,10.0,10.0,9.0,9.0,9.0,10.0,8.0,10.0,8.0,10.0,10.0,9.0,10.0,12.0,8.0,8.0,10.0,11.0,9.0,9.0,12.0,11.0,8.0,11.0,9.0,9.0,10.0,9.0,20.0,10.0,17.0,11.0,8.0,14.0
>ENST00000416567.1,10.0,9.0,8.0,10.0,10.0,11.0,8.0,9.0,10.0,10.0,8.0,9.0,10.0,10.0,0.0,11.0,9.0,12.0,12.0,10.0,10.0,11.0,8.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,9.0,8.0,9.0,12.0,9.0,11.0,10.0,9.0,10.0,10.0,9.0,9.0,11.0,10.0,10.0,8.0,11.0,9.0,10.0,10.0
>ENST00000426903.1,10.0,13.0,11.0,10.0,12.0,12.0,10.0,10.0,11.0,12.0,10.0,7.0,10.0,12.0,11.0,0.0,9.0,17.0,10.0,12.0,9.0,13.0,10.0,10.0,11.0,10.0,10.0,14.0,12.0,14.0,10.0,10.0,10.0,12.0,11.0,11.0,19.0,9.0,8.0,13.0,13.0,12.0,12.0,12.0,11.0,10.0,11.0,10.0,11.0,10.0
>ENST00000450455.1,10.0,10.0,8.0,8.0,10.0,9.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,10.0,9.0,9.0,0.0,14.0,8.0,9.0,9.0,8.0,8.0,8.0,10.0,8.0,8.0,9.0,10.0,8.0,8.0,6.0,8.0,11.0,9.0,12.0,11.0,9.0,7.0,9.0,11.0,8.0,9.0,10.0,10.0,11.0,8.0,10.0,9.0,10.0
ENSG00000282988.1,10.0,53.0,11.0,10.0,12.0,10.0,11.0,10.0,10.0,13.0,9.0,10.0,12.0,10.0,12.0,17.0,14.0,0.0,10.0,11.0,10.0,10.0,11.0,11.0,11.0,10.0,11.0,10.0,12.0,12.0,11.0,9.0,10.0,12.0,11.0,12.0,16.0,11.0,10.0,11.0,10.0,12.0,10.0,11.0,11.0,16.0,11.0,13.0,12.0,10.0
>ENST00000560822.1,8.0,10.0,8.0,8.0,9.0,7.0,6.0,8.0,11.0,10.0,9.0,6.0,11.0,9.0,12.0,10.0,8.0,10.0,0.0,8.0,8.0,9.0,7.0,9.0,8.0,9.0,8.0,11.0,9.0,11.0,9.0,9.0,9.0,14.0,8.0,9.0,10.0,9.0,8.0,12.0,9.0,10.0,10.0,9.0,9.0,8.0,7.0,8.0,7.0,9.0
>ENST00000537214.1,10.0,10.0,12.0,9.0,10.0,9.0,7.0,9.0,9.0,9.0,7.0,6.0,9.0,9.0,10.0,12.0,9.0,11.0,8.0,0.0,10.0,11.0,8.0,8.0,10.0,8.0,9.0,10.0,9.0,9.0,12.0,7.0,9.0,10.0,8.0,11.0,11.0,7.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0,8.0,9.0
>ENST00000486306.1,8.0,8.0,13.0,9.0,12.0,8.0,7.0,9.0,9.0,8.0,8.0,8.0,10.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,0.0,9.0,8.0,8.0,9.0,8.0,9.0,11.0,10.0,10.0,7.0,8.0,9.0,16.0,9.0,9.0,8.0,7.0,8.0,10.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,9.0,8.0
>ENST00000455094.1,9.0,9.0,11.0,9.0,11.0,10.0,7.0,10.0,9.0,11.0,9.0,7.0,11.0,10.0,11.0,13.0,8.0,10.0,9.0,11.0,9.0,0.0,9.0,11.0,9.0,9.0,11.0,11.0,9.0,13.0,8.0,9.0,9.0,11.0,11.0,9.0,10.0,8.0,10.0,9.0,8.0,11.0,11.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0
>ENST00000508720.2,10.0,11.0,8.0,8.0,9.0,7.0,8.0,9.0,8.0,10.0,7.0,7.0,9.0,8.0,8.0,10.0,8.0,11.0,7.0,8.0,8.0,9.0,0.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,10.0,8.0,10.0,8.0,12.0,8.0,9.0,9.0,11.0,7.0,10.0
>ENST00000557959.1,11.0,11.0,9.0,9.0,11.0,9.0,8.0,9.0,13.0,10.0,11.0,7.0,11.0,10.0,10.0,10.0,8.0,11.0,9.0,8.0,8.0,11.0,9.0,0.0,10.0,8.0,12.0,11.0,11.0,12.0,11.0,9.0,10.0,12.0,9.0,10.0,11.0,10.0,8.0,10.0,8.0,12.0,12.0,11.0,8.0,10.0,10.0,11.0,11.0,10.0
>ENST00000400550.2,9.0,10.0,11.0,11.0,11.0,12.0,7.0,10.0,9.0,10.0,9.0,7.0,10.0,8.0,10.0,11.0,10.0,11.0,8.0,10.0,9.0,9.0,10.0,10.0,0.0,11.0,10.0,10.0,10.0,10.0,11.0,8.0,10.0,11.0,11.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,11.0,9.0,11.0,8.0,8.0,11.0,8.0,8.0
>ENST00000492984.2,9.0,8.0,11.0,9.0,9.0,9.0,8.0,10.0,9.0,8.0,8.0,7.0,9.0,10.0,10.0,10.0,8.0,10.0,9.0,8.0,8.0,9.0,8.0,8.0,11.0,0.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,9.0,9.0,10.0,8.0,8.0,8.0,10.0,11.0,9.0,9.0,8.0,12.0,9.0,9.0,9.0,8.0,9.0
>ENST00000431423.2,12.0,9.0,10.0,10.0,10.0,9.0,7.0,9.0,9.0,10.0,10.0,7.0,12.0,10.0,10.0,10.0,8.0,11.0,8.0,9.0,9.0,11.0,9.0,12.0,10.0,9.0,0.0,10.0,10.0,11.0,8.0,8.0,9.0,11.0,10.0,10.0,11.0,9.0,8.0,10.0,9.0,8.0,11.0,11.0,9.0,9.0,11.0,12.0,8.0,11.0
>ENST00000291129.4,13.0,10.0,11.0,10.0,12.0,11.0,8.0,10.0,11.0,10.0,9.0,8.0,11.0,9.0,11.0,14.0,9.0,10.0,11.0,10.0,11.0,11.0,9.0,11.0,10.0,9.0,10.0,0.0,12.0,11.0,10.0,10.0,10.0,12.0,11.0,11.0,9.0,9.0,9.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,8.0,13.0
>ENST00000438337.2,10.0,10.0,12.0,11.0,11.0,10.0,8.0,11.0,9.0,9.0,11.0,9.0,13.0,10.0,11.0,12.0,10.0,12.0,9.0,9.0,10.0,9.0,9.0,11.0,10.0,9.0,10.0,12.0,0.0,11.0,9.0,9.0,9.0,12.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,11.0,11.0,10.0,10.0,9.0,9.0,13.0,9.0,12.0
>ENST00000405102.1,11.0,9.0,11.0,8.0,11.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,10.0,12.0,11.0,14.0,8.0,12.0,11.0,9.0,10.0,13.0,9.0,12.0,10.0,10.0,11.0,11.0,11.0,0.0,8.0,8.0,9.0,11.0,9.0,9.0,11.0,9.0,12.0,10.0,9.0,11.0,13.0,12.0,14.0,9.0,12.0,11.0,10.0,8.0
>ENST00000604995.1,8.0,9.0,9.0,8.0,11.0,8.0,7.0,8.0,8.0,9.0,12.0,10.0,8.0,8.0,9.0,10.0,8.0,11.0,9.0,12.0,7.0,8.0,8.0,11.0,11.0,9.0,8.0,10.0,9.0,8.0,0.0,6.0,8.0,9.0,9.0,9.0,9.0,8.0,6.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,10.0,8.0,8.0,9.0
>ENST00000605504.1,11.0,7.0,9.0,7.0,10.0,8.0,7.0,11.0,9.0,7.0,12.0,5.0,8.0,8.0,8.0,10.0,6.0,9.0,9.0,7.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0,10.0,9.0,8.0,6.0,0.0,7.0,9.0,7.0,9.0,8.0,7.0,7.0,9.0,9.0,9.0,9.0,7.0,9.0,9.0,11.0,9.0,8.0,10.0
>ENST00000486071.1,8.0,8.0,10.0,8.0,9.0,12.0,8.0,8.0,10.0,9.0,10.0,7.0,9.0,10.0,9.0,10.0,8.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,8.0,7.0,0.0,10.0,9.0,9.0,10.0,8.0,9.0,11.0,9.0,11.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0
>ENST00000443330.1,11.0,10.0,10.0,11.0,11.0,10.0,9.0,10.0,13.0,11.0,10.0,9.0,11.0,11.0,12.0,12.0,11.0,12.0,14.0,10.0,16.0,11.0,9.0,12.0,11.0,9.0,11.0,12.0,12.0,11.0,9.0,9.0,10.0,0.0,11.0,13.0,11.0,9.0,11.0,13.0,10.0,10.0,14.0,12.0,11.0,10.0,10.0,11.0,9.0,11.0
>ENST00000562089.2,12.0,10.0,10.0,10.0,11.0,10.0,7.0,9.0,10.0,9.0,11.0,8.0,13.0,9.0,9.0,11.0,9.0,11.0,8.0,8.0,9.0,11.0,9.0,9.0,11.0,9.0,10.0,11.0,10.0,9.0,9.0,7.0,9.0,11.0,0.0,11.0,9.0,8.0,8.0,11.0,9.0,8.0,14.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0
>ENST00000434514.1,11.0,9.0,10.0,9.0,10.0,9.0,7.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,11.0,11.0,12.0,12.0,9.0,11.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,11.0,9.0,9.0,9.0,9.0,9.0,13.0,11.0,0.0,12.0,8.0,10.0,11.0,8.0,9.0,11.0,10.0,9.0,8.0,9.0,9.0,11.0,8.0
>ENST00000560515.1,9.0,14.0,9.0,9.0,9.0,10.0,8.0,9.0,8.0,535.0,9.0,7.0,9.0,12.0,10.0,19.0,11.0,16.0,10.0,11.0,8.0,10.0,9.0,11.0,9.0,8.0,11.0,9.0,10.0,11.0,9.0,8.0,10.0,11.0,9.0,12.0,0.0,8.0,9.0,10.0,9.0,10.0,10.0,10.0,8.0,8.0,9.0,12.0,8.0,9.0
>ENST00000458227.1,9.0,8.0,9.0,9.0,9.0,7.0,8.0,10.0,7.0,8.0,7.0,6.0,8.0,11.0,9.0,9.0,9.0,11.0,9.0,7.0,7.0,8.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,7.0,8.0,9.0,8.0,8.0,8.0,0.0,7.0,9.0,10.0,8.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,8.0
>ENST00000420036.1,10.0,8.0,9.0,7.0,9.0,8.0,7.0,8.0,8.0,9.0,7.0,9.0,9.0,8.0,10.0,8.0,7.0,10.0,8.0,10.0,8.0,10.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,12.0,6.0,7.0,9.0,11.0,8.0,10.0,9.0,7.0,0.0,8.0,8.0,8.0,9.0,10.0,8.0,9.0,8.0,8.0,7.0,10.0
>ENST00000417848.2,10.0,10.0,10.0,9.0,10.0,9.0,8.0,11.0,10.0,11.0,9.0,9.0,10.0,11.0,10.0,13.0,9.0,11.0,12.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,9.0,10.0,9.0,9.0,11.0,13.0,11.0,11.0,10.0,9.0,8.0,0.0,11.0,10.0,11.0,12.0,10.0,10.0,10.0,11.0,9.0,9.0
>ENST00000406908.3,9.0,8.0,9.0,9.0,10.0,8.0,7.0,9.0,12.0,10.0,11.0,7.0,12.0,9.0,9.0,13.0,11.0,10.0,9.0,10.0,10.0,8.0,8.0,8.0,10.0,11.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,8.0,11.0,0.0,10.0,11.0,11.0,8.0,11.0,10.0,8.0,9.0,11.0
>ENST00000552501.1,10.0,9.0,10.0,9.0,12.0,9.0,10.0,11.0,8.0,10.0,13.0,7.0,9.0,9.0,9.0,12.0,8.0,12.0,10.0,11.0,9.0,11.0,10.0,12.0,9.0,9.0,8.0,11.0,11.0,11.0,9.0,9.0,11.0,10.0,8.0,9.0,10.0,8.0,8.0,10.0,10.0,0.0,15.0,10.0,9.0,9.0,9.0,10.0,8.0,10.0
>ENST00000563678.1,11.0,10.0,12.0,9.0,12.0,8.0,8.0,13.0,11.0,10.0,11.0,10.0,11.0,10.0,11.0,12.0,9.0,10.0,10.0,11.0,9.0,11.0,8.0,12.0,11.0,9.0,11.0,11.0,11.0,13.0,9.0,9.0,9.0,14.0,14.0,11.0,10.0,9.0,9.0,11.0,11.0,15.0,0.0,10.0,9.0,10.0,11.0,9.0,9.0,14.0
>ENST00000436935.2,11.0,10.0,9.0,9.0,12.0,8.0,9.0,9.0,8.0,10.0,10.0,8.0,9.0,9.0,10.0,12.0,10.0,11.0,9.0,10.0,10.0,10.0,12.0,11.0,9.0,8.0,11.0,11.0,10.0,12.0,10.0,7.0,8.0,12.0,9.0,10.0,10.0,8.0,10.0,12.0,11.0,10.0,10.0,0.0,9.0,9.0,9.0,11.0,8.0,11.0
>ENST00000625203.1,9.0,11.0,11.0,9.0,9.0,10.0,10.0,10.0,11.0,9.0,9.0,8.0,10.0,20.0,10.0,11.0,10.0,11.0,9.0,10.0,9.0,9.0,8.0,8.0,11.0,12.0,9.0,11.0,10.0,14.0,8.0,9.0,9.0,11.0,10.0,9.0,8.0,10.0,8.0,10.0,8.0,9.0,9.0,9.0,0.0,9.0,34.0,11.0,10.0,9.0
>ENST00000445539.1,8.0,10.0,11.0,9.0,10.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,10.0,8.0,10.0,11.0,16.0,8.0,10.0,8.0,9.0,9.0,10.0,8.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,8.0,8.0,9.0,9.0,10.0,11.0,9.0,10.0,9.0,9.0,0.0,11.0,10.0,9.0,40.0
>ENST00000623930.1,10.0,10.0,12.0,10.0,10.0,9.0,7.0,9.0,10.0,10.0,8.0,8.0,10.0,17.0,11.0,11.0,8.0,11.0,7.0,10.0,9.0,8.0,9.0,10.0,8.0,9.0,11.0,11.0,9.0,12.0,10.0,11.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,9.0,11.0,9.0,34.0,11.0,0.0,10.0,11.0,9.0
>ENST00000600110.1,10.0,55.0,10.0,10.0,10.0,8.0,10.0,9.0,9.0,12.0,8.0,9.0,9.0,11.0,9.0,10.0,10.0,13.0,8.0,9.0,9.0,9.0,11.0,11.0,11.0,9.0,12.0,12.0,13.0,11.0,8.0,9.0,9.0,11.0,9.0,9.0,12.0,9.0,8.0,11.0,8.0,10.0,9.0,11.0,11.0,10.0,10.0,0.0,9.0,11.0
>ENST00000440210.1,9.0,9.0,9.0,8.0,9.0,8.0,7.0,8.0,9.0,8.0,7.0,7.0,8.0,8.0,10.0,11.0,9.0,12.0,7.0,8.0,9.0,9.0,7.0,11.0,8.0,8.0,8.0,8.0,9.0,10.0,8.0,8.0,8.0,9.0,8.0,11.0,8.0,9.0,7.0,9.0,9.0,8.0,9.0,8.0,10.0,9.0,11.0,9.0,0.0,8.0
>ENST00000472521.1,8.0,10.0,10.0,8.0,9.0,10.0,7.0,8.0,8.0,9.0,7.0,7.0,9.0,14.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,10.0,8.0,9.0,11.0,13.0,12.0,8.0,9.0,10.0,9.0,11.0,9.0,8.0,9.0,8.0,10.0,9.0,11.0,10.0,14.0,11.0,9.0,40.0,9.0,11.0,8.0,0.0
